City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
298,Mount Isa,AU,-20.7333,139.5,51.57,66,6,0.0,clear sky
299,Lahr,DE,48.35,7.8667,67.06,31,69,3.0,broken clouds
300,Namuac,PH,18.6109,121.1657,80.13,85,24,3.47,few clouds
301,North Bend,US,43.4065,-124.2243,56.91,93,100,4.61,mist
302,Coquimbo,CL,-29.9533,-71.3436,55.13,76,100,3.44,overcast clouds
303,Bluff,NZ,-46.6,168.3333,45.81,88,81,9.13,broken clouds
304,Olafsvik,IS,64.8945,-23.7142,50.32,76,100,11.97,overcast clouds
305,Ginir,ET,7.1333,40.7,59.85,81,66,6.11,light rain
306,Ostrovnoy,RU,68.0531,39.5131,47.55,75,99,11.99,overcast clouds
307,Itacare,BR,-14.2775,-38.9967,79.93,65,20,7.83,few clouds
308,Porto De Moz,BR,-1.7483,-52.2383,82.58,78,48,2.44,scattered clouds
309,Leon,MX,21.1167,-101.6667,82.81,23,15,7.76,few clouds
310,Lakes Entrance,AU,-37.8811,147.981,45.16,89,86,5.79,overcast clouds
311,Chizhou,CN,30.6578,117.4831,68.38,97,100,3.36,overcast clouds
312,Half Moon Bay,US,37.4636,-122.4286,71.58,75,75,14.97,mist
313,Guerrero Negro,MX,27.9769,-114.0611,66.52,64,73,15.95,broken clouds
314,Tabuk,PH,17.4189,121.4443,76.3,92,59,1.28,broken clouds
315,Pisco,PE,-13.7,-76.2167,65.01,77,20,9.22,mist
316,Yaan,NG,7.3833,8.5667,85.51,58,49,10.45,scattered clouds
317,Paamiut,GL,61.994,-49.6678,35.29,84,100,25.3,overcast clouds
318,Tezu,IN,27.9167,96.1667,71.83,94,44,4.12,scattered clouds
319,Vardo,NO,70.3705,31.1107,44.58,81,13,12.66,few clouds
320,Oranjestad,AW,12.524,-70.027,85.95,66,75,21.85,broken clouds
321,Picton,AU,-34.1833,150.6,52.75,85,3,6.08,clear sky
322,Taoudenni,ML,22.6783,-3.9836,103.51,14,96,22.73,overcast clouds
323,Tasiilaq,GL,65.6145,-37.6368,38.3,93,100,33.15,moderate rain
324,Prainha,BR,-1.8,-53.48,84.34,68,22,3.94,few clouds
325,Lerwick,GB,60.1545,-1.1494,46.4,74,99,22.37,overcast clouds
326,Tautira,PF,-17.7333,-149.15,79.84,76,20,15.95,few clouds
327,Saint-Pierre,RE,-21.3393,55.4781,73.08,64,75,12.66,broken clouds
328,Nelson Bay,AU,-32.7167,152.15,55.09,93,3,1.99,clear sky
329,Upata,VE,8.0086,-62.3989,89.89,37,87,7.09,overcast clouds
330,Rongcheng,CN,30.634,117.8517,68.58,97,99,2.93,moderate rain
331,Xinqing,CN,48.2333,129.5,48.65,85,99,2.24,overcast clouds
332,Arinos,BR,-15.9169,-46.1056,86.45,23,18,3.0,few clouds
333,Sur,OM,22.5667,59.5289,89.4,54,0,7.9,clear sky
334,Nome,US,64.5011,-165.4064,33.87,93,100,4.61,overcast clouds
335,Farah,AF,32.5,62.5,72.86,21,0,9.15,clear sky
336,Maniitsoq,GL,65.4167,-52.9,33.21,85,21,21.12,few clouds
337,Sao Filipe,CV,14.8961,-24.4956,73.69,83,28,6.87,scattered clouds
338,Fort Nelson,CA,58.8053,-122.7002,56.79,51,75,9.22,broken clouds
339,Kemlya,RU,54.6963,45.2424,52.11,72,10,17.34,clear sky
340,Tura,IN,25.5198,90.2201,73.65,81,4,4.0,clear sky
341,Sioux Lookout,CA,50.1001,-91.917,64.47,59,75,4.61,broken clouds
342,Aktash,RU,50.3,87.7333,48.07,54,58,1.79,broken clouds
343,Kamenka,RU,51.3223,42.7678,53.11,85,98,8.25,overcast clouds
344,Imbituba,BR,-28.24,-48.6703,70.09,88,100,3.6,heavy intensity rain
345,Nuuk,GL,64.1835,-51.7216,32.88,80,36,15.99,scattered clouds
346,Innisfail,AU,-17.5333,146.0333,63.28,75,13,4.54,few clouds
347,Trelew,AR,-43.249,-65.3051,46.38,41,51,22.17,broken clouds
