City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
500,Faanui,PF,81.01,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
501,Kasangulu,CD,76.53,broken clouds,-4.5911,15.1708,Hôtel le Relais
508,Virginia Beach,US,82.02,few clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
511,Ha Tinh,VN,79.16,scattered clouds,18.3333,105.9,Phú Quý
516,Darnah,LY,88.39,clear sky,32.767,22.6367,فندق الفردوس
531,Port-Gentil,GA,78.76,few clouds,-0.7193,8.7815,Fengshui Residence
532,Ugoofaaru,MV,82.2,overcast clouds,5.6667,73.0,Ungoofaaru Inn
535,San Cristobal,VE,82.58,overcast clouds,7.7669,-72.225,Pirineos
539,Palu,ID,77.38,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
544,Palmer,US,75.2,overcast clouds,42.1584,-72.3287,Wedgewood Motel
545,Sao Joao Da Barra,BR,82.49,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
548,Marsa Matruh,EG,82.6,clear sky,31.3525,27.2453,Beau Site
553,Finschhafen,PG,78.67,broken clouds,-6.6024,147.8681,Cossam Guest House
554,Tema,GH,84.61,few clouds,5.667,-0.0166,Beulah Royale Hotel Tema
555,Bandarbeyla,SO,81.97,scattered clouds,9.4942,50.8122,JABIR HOTEL
563,Mahibadhoo,MV,83.52,scattered clouds,3.7833,72.9667,Omadhoo Inn
565,Abu Dhabi,AE,89.62,clear sky,24.4667,54.3667,Beach Rotana
566,Pochutla,MX,79.83,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
568,Morondava,MG,76.87,clear sky,-20.2833,44.2833,La Case Bambou
570,Candido Mendes,BR,82.72,broken clouds,-1.4467,-45.7167,Quebrada Do Mlk PJL
574,Marti,CU,87.04,overcast clouds,22.9475,-80.9203,Hotel Bibanasí
577,Belmopan,BZ,82.78,overcast clouds,17.25,-88.7667,Villa San Juan
580,Isla Mujeres,MX,86.16,overcast clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
582,Daru,PG,79.09,overcast clouds,-9.0763,143.2092,Daru Lodge
586,Monopoli,IT,88.02,few clouds,40.9559,17.2896,Il Melograno
587,Samarai,PG,78.21,scattered clouds,-10.6167,150.6667,Nuli Sapi
592,Sao Sebastiao,BR,82.09,overcast clouds,-23.76,-45.4097,Hotel Recanto dos Pássaros
593,Buchanan,LR,82.08,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
595,Perbaungan,ID,78.91,overcast clouds,3.5679,98.956,Bendang Lama
599,Ardakan,IR,82.53,clear sky,32.31,54.0175,Ardakan Hotel
600,Fergus Falls,US,76.98,clear sky,46.283,-96.0776,AmericInn by Wyndham Fergus Falls Conference Center
601,Nicoya,CR,86.97,scattered clouds,10.1483,-85.452,Las Cabinas Del Sueño
603,Muisne,EC,78.08,overcast clouds,0.6,-80.0333,Quinta Samay
604,Bonthe,SL,82.4,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
607,Ayia Marina,GR,86.45,clear sky,37.75,23.5333,Argo Spa Hotel
609,Kavaratti,IN,82.92,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
610,Kralendijk,BQ,80.44,overcast clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
614,Pandan,PH,79.88,light rain,14.0453,124.1694,Bonifacio Lodge
615,Devgarh,IN,86.85,clear sky,25.5333,73.9,Deogarh Mahal
618,La Rioja,ES,78.58,clear sky,42.25,-2.5,Casa Concejos
619,Harper,LR,82.8,scattered clouds,4.375,-7.7169,Screensaver
625,Nova Vicosa,BR,78.67,broken clouds,-17.8919,-39.3719,Pousada Porto do Sol
627,Juba,SS,78.57,light rain,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
634,Bubaque,GW,82.62,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
635,Carauari,BR,87.49,broken clouds,-4.8828,-66.8958,Hotel Fellip
636,Kloulklubed,PW,82.83,moderate rain,7.0419,134.2556,Storyboard Beach Resort
644,Chitrakonda,IN,89.17,broken clouds,18.1167,82.0833,Sri venkateswara swamy temple
647,Cuauhtemoc,MX,80.19,overcast clouds,28.4167,-106.8667,Motel Tarahumara Inn
648,Delmas,HT,89.82,overcast clouds,18.5447,-72.3028,Idéal Villa Hôtel
651,Dawson,US,83.62,clear sky,31.7735,-84.4466,Country Hearth Inn & Suites Dawson
652,Balad,IQ,89.74,clear sky,34.0164,44.1453,رضاوي زنوبة
654,Grand Gaube,MU,75.6,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
656,Keti Bandar,PK,81.77,clear sky,24.1447,67.4497,Haji laloo memon house
660,Sotouboua,TG,86.61,scattered clouds,8.5667,0.9833,Auberge Médina
662,Kupang,ID,75.96,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
664,Ewing,US,78.19,broken clouds,40.2698,-74.7999,Element Ewing Princeton
666,Santarem,BR,86.13,few clouds,-2.4431,-54.7083,Hotel Imperador
669,Key Largo,US,90.0,clear sky,25.0865,-80.4473,Bayside Inn Key Largo
670,Madang,PG,76.05,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
682,Kingman,US,84.54,clear sky,35.1894,-114.053,Rodeway Inn Kingman Route 66
683,Vila Velha,BR,84.15,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
693,Radhanpur,IN,87.3,clear sky,23.8333,71.6,"HONEST - HOTEL (VIRAT HOTEL AND GUEST HOUSE, RADHANPUR))"
705,Porto Novo,BJ,83.21,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
706,Yanam,IN,89.24,broken clouds,16.7333,82.2167,The Regency Hotel
708,Alugan,PH,78.13,overcast clouds,12.2188,125.4808,JM Lodge
712,Sampit,ID,75.0,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
